Title,Release_Date,Release_Year,Release_Month,Movie_Length,Genre,Director,IMDB_Rating,Rotten_Tomatoes_Rating,Oscars_Won,Production_Budget,2022_Inflation_Adjusted_Budget
Candyman,"August 27, 2021",2021,8,91,Horror,Nia DaCosta,5.9,84,0,25000000,27467155.04
Parasite,"August 30, 2019",2019,8,132,Thriller,Bong Joon Ho,8.5,99,4,11800000,13741027.24
Get Out,"February 24, 2017",2017,2,104,Horror,Jordan Peele,7.7,98,1,4500000,5465484.25
Black Swan,"December 17, 2010",2010,12,108,Thriller,Darren Aronofsky,8,85,1,13000000,17748848.92
REC,"October 17, 2008",2008,10,78,Horror,"Jaume Balagueró, Paco Plaza",7.4,90,0,2000000,2765507.22
28 Days Later,"June 27, 2003",2003,6,113,Horror,Danny Boyle,7.5,87,0,8000000,12943956.52
Ringu,"March 4, 2003",2003,3,96,Horror,Hideo Nakata,7.2,98,0,1500000,2426991.85
The Sixth Sense,"August 6, 1999",1999,8,107,Thriller,M. Night Shyamalan,8.2,86,0,40000000,71479231.69
The Silence of the Lambs,"February 14, 1991",1991,2,118,Thriller,Jonathan Demme,8.6,95,5,19000000,41530903.08
The Thing,"June 25, 1982",1982,6,109,Horror,John Carpenter,8.2,84,0,15000000,46276321.24
Alien,"May 25, 1979",1979,5,117,Horror,Ridley Scott,8.5,98,1,11000000,45107727.27
